bcode,bcodep,fi
605,404,3.2917454502008416
604,610,3.0631499308811865
604,600,2.6723129843334332
607,404,3.9948316999270754
606,505,3.5121724279251154
606,404,3.973811482890628
601,403,3.072682901303102
603,901,3.080171437463567
603,204,4.125734057340476
603,206,5.323571542928982
603,610,3.661754502328585
603,611,4.73669724350741
603,702,4.297254191164836
603,108,5.8470144309673575
603,109,3.3992827562418526
603,112,4.94513215669035
603,506,3.200841035199776
603,801,3.429776804409031
603,502,8.04207804145818
603,804,4.480374583225776
602,507,3.621560151089998
704,502,3.293814736520109
609,502,2.9382439242637677
701,611,2.8929265736774963
702,105,4.09515001138194
703,507,3.7601288676315816
703,504,3.193252873487912
703,505,3.9944238883451075
703,502,3.7770086377006837
703,802,3.562985826468806
516,505,2.602084874961055
111,109,2.953494658428838
110,512,2.341230371544784
113,511,2.467367959173938
113,404,3.018702321721062
112,104,3.4774183375922227
700,405,1.8650718954139656
301,513,2.254253775905691
210,901,3.017326990654809
508,400,2.604764975232783
107,109,2.734037187126772
300,400,2.5100071742047914
405,902,2.747101700424917
404,108,3.3403488659901663
404,109,5.069248980937137
404,402,4.134215089090789
404,510,2.6851874243045897
404,513,4.360063980252267
404,800,3.936770903667336
404,501,5.1055157052574325
403,513,3.810788158480721
403,608,2.215316782930313
401,201,3.4499572750484018
401,501,3.981612133828915
400,507,7.5622344274256
400,202,2.936485596715162
507,201,4.238871340317725
507,207,2.7082052037222963
507,802,3.5127730756430404
507,502,4.619186490305831
507,105,3.3635729932947096
505,802,4.882990745132658
505,515,1.9381405627306667
502,108,5.2673928218891275
502,802,3.5795417448481763
502,801,3.6867422778015806
502,806,3.1490180542416906
503,105,2.814687287239632
500,512,2.4152986517381114
501,201,4.07110622781681
501,105,3.3635729932947096
501,101,3.661954544156752
201,803,3.450859587547351
201,209,3.427614672306905
203,805,1.905730491774463
203,105,2.233520585378326
205,204,3.7648995494268873
204,804,4.418216184332953
206,104,3.518928273362859
208,109,2.6629816804833104
611,108,3.776788164626212
304,105,2.384469540302329
108,109,3.753732532585261
108,801,3.5787786216346475
109,106,3.1366245463455105
103,100,4.533102862287995
100,104,3.218126175626393
105,902,2.6759067312910414
105,512,3.304485799281578
105,514,2.8299148871795383
902,509,2.565468999751805
902,900,2.2361655506531695
512,303,2.905047658640503
